procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1433428 3587432   5820 383908    3   18    52    51  157  280  3  1 95  0  0
 2  1 1421980 1913656   6560 397476 11132    0 16759   148 5345 9930 16 21 48 15  0
 1  0 1417328 795028   6560 398656 4872    0  4880     0 2795 4069  7 13 73  7  0
 0  4 1435236 3797736   1392 176388  172 18104 84383 19552 6467 7140  7 40 37 16  0
 0  0 1435136 2636772   1392 286484  100    0 93726     0 3195 6356  6 18 59 17  0
 0  0 1435060 1584924   1400 287284   80    0   888     0  605  930  9  9 82  1  0
 1  0 1434680 1335696   1552 293452  404    0  5676     0 1319 2570  8  5 84  3  0
 0  0 1434584 522744   2144 298060   92    0  3797    80  688 1183  5 11 82  2  0
 0  3 1435264 6950428   1392 173836 2176 2456 81585  4000 3734 5764  6 40 38 16  0
 0  0 1435148 6844336   1392 279260  124    0 89462     0 3725 6825  2  8 74 15  0
 0  0 1435008 6833500   1544 289304  140    0  9235     0 1011 1760  4  3 88  4  0
 2  0 1434424 6787132   3092 314172  440    0 21169     0 1696 2867  6  7 80  8  0
 0  0 1433960 6785116   3100 315204  548    0   676    52  941 2109  5  1 91  2  0
 3  0 1433808 6781588   3100 318344  160    0  2946     0 2339 4591 19  3 77  1  0
 2  0 1433752 6774784   3100 324604   56    0  5053     0 2453 4796 18  5 76  2  0
 2  0 1433412 6789604   3380 327484  264    0  3269     0 2310 4416 21  4 73  2  0
 1  0 1433320 6787968   3380 330752  100    0  3368     0 1464 2739 16  2 81  1  0
 2  0 1432880 6783856   3380 333688  556    0  3168     0 1743 3211 15  5 78  2  0
 3  0 1432768 6781336   3388 334756  108    0  1176    12 1410 2794 15  2 82  1  0
 4  0 1432696 6783116   3388 334756   64    0    64     0 1374 2590 17  2 81  0  0
